Year,Nomination_Date,Nom_Day_Of_Week,Polling_Date,Polling_Month,Polling_Day_Of_Week
2015,2015-09-01,Tuesday,2015-09-11,9,Friday
2011,2011-04-27,Wednesday,2011-05-07,5,Saturday
2006,2006-04-27,Thursday,2006-05-06,5,Saturday
2001,2001-10-25,Thursday,2001-11-03,11,Saturday
1997,1996-12-23,Monday,1997-01-02,1,Thursday
1991,1991-08-21,Wednesday,1991-08-31,8,Saturday
1988,1988-08-24,Wednesday,1988-09-03,9,Saturday
1984,1984-12-12,Wednesday,1984-12-22,12,Saturday
1980,1980-12-13,Saturday,1980-12-23,12,Tuesday
1976,1976-12-13,Monday,1976-12-23,12,Thursday
1972,1972-08-23,Wednesday,1972-09-02,9,Saturday
1968,1968-02-17,Saturday,1968-04-13,4,Saturday
1963,1963-09-12,Thursday,1963-09-21,9,Saturday
1959,1959-04-25,Saturday,1959-05-30,5,Saturday
1955,1955-02-28,Monday,1955-04-02,4,Saturday
