Year,Nomination_Date,Polling_Date,Constituency,GRC/SMC,Number_Of_Electors,PAP_Votes,PAP_Vote_Share (%),Opposition_Votes,Opposition_Vote_Share (%),Opposition_Party,PAP_Candidates,Opposition_Candidates
2015,2015-09-01,2015-09-11,Aljunied,GRC,148142,67424,49.04,70050,50.96,WP,"CHUA ENG LEONG, K MURALIDHARAN PILLAI, LYE THIAM FATT JOSEPH VICTOR, SHAMSUL KAMAR BIN MOHAMED RAZALI, YEO GUAT KWANG","CHEN SHOW MAO, SYLVIA LIM, LOW THIA KHIANG, MD FAISAL BIN ABDUL MANAP, PRITAM SINGH"
2015,2015-09-01,2015-09-11,Ang Mo Kio,GRC,187771,135316,78.64,36758,21.36,RP,"ANG HIN KEE, DAVID DARRYL WILSON, GAN THIAM POH, INTAN AZURA BINTE MOKHTAR, KOH POH KOON, LEE HSIEN LOONG","GOH KEOW WAH, JESSE LOO HOE BOCK, ROY NGERNG YI LING, OSMAN SULAIMAN, M RAVI, SIVA CHANDRAN"
2015,2015-09-01,2015-09-11,Bishan-Toa Payoh,GRC,129975,86701,73.59,31108,26.41,SPP,"CHEE HONG TAT, CHONG KEE HIONG, NG ENG HEN, SAKTIANDI BIN SUPAAT, JOSEPHINE TEO","LAW KIM HWEE, LONG YAOGUANG, DON BRYAN, MOHAMAD ABDILLAH BIN ZAMZURI, MOHAMAD HAMIM BIN ALIYAS, PWEE YEK KWAN BENJAMIN"
2015,2015-09-01,2015-09-11,Bukit Batok,SMC,27077,18234,73.02,6738,26.98,"SDP, Ind",DAVID ONG KIM HUAT,"SADASIVAM V (SDP) , SAMIR SALIM NEJI (IND)"
2015,2015-09-01,2015-09-11,Bukit Panjang,SMC,34317,21954,68.38,10152,31.62,SDP,TEO HO PIN,KHUNG WAI YEEN
2015,2015-09-01,2015-09-11,Chua Chu Kang,GRC,119931,84850,76.91,25475,23.09,PPP,"GAN KIM YONG, LOW YEN LING, YEE CHIA HSING, ZAQY MOHAMAD","GOH MENG SENG, LEE TZE SHIH, LOW WAI CHOO, SYAFARIN BIN SARIF"
2015,2015-09-01,2015-09-11,East Coast,GRC,99118,55093,60.73,35622,39.27,WP,"LEE YI SHYAN, LIM SWEE SAY, MOHD MALIKI BIN OSMAN, TAN SOON NEO JESSICA","GERALD GIAM YEAN SONG, DANIEL GOH PEI SIONG, MOHAMED FAIROZ BIN SHARIFF, LEON PERERA"
2015,2015-09-01,2015-09-11,Fengshan,SMC,23427,12417,57.5,9176,42.5,WP,CHERYL CHAN WEI LING,DENNIS TAN LIP FONG
2015,2015-09-01,2015-09-11,Holland-Bukit Timah,GRC,104491,62786,66.6,31494,33.4,SDP,"CHRISTOPHER DE SOUZA, LIANG ENG HWA, SIM ANN, VIVIAN BALAKRISHNAN","CHEE SOON JUAN, CHONG WAI FUNG, MD SIDEK BIN MALLEK, PAUL ANANTHARAJAH TAMBYAH"
2015,2015-09-01,2015-09-11,Hong Kah North,SMC,28145,19628,74.76,6627,25.24,SDP,AMY KHOR LEAN SUAN,RAVI PHILEMON
2015,2015-09-01,2015-09-11,Hougang,SMC,24097,9565,42.34,13027,57.66,WP,LEE HONG CHUANG,PNG ENG HUAT
2015,2015-09-01,2015-09-11,Jalan Besar,GRC,102540,63644,67.75,30302,32.25,WP,"HENG CHEE HOW, LILY NEO, DENISE PHUA LAY PENG, YAACOB IBRAHIM","CHAN SIO PHING FRIEDA (ZENG XIAOPING), L SOMASUNDARAM, REDZWAN HAFIDZ ABDUL RAZAK, SIM TIAN HOCK (SHEN TIANFU)"
2015,2015-09-01,2015-09-11,Jurong,GRC,130498,95228,79.29,24869,20.71,SGF,"ANG WEI NENG, DESMOND LEE, RAHAYU BINTE MAHZAM, THARMAN SHANMUGARATNAM, TAN WU MENG","FOO MING JIN DAVID, SUKDEU SINGH, TAN PENG ANN, WONG CHEE WAI, WONG SOON HONG"
2015,2015-09-01,2015-09-11,MacPherson,SMC,28511,17251,65.6,9048,34.41,"WP, NSP",TIN PEI LING,"CHEN JIAXI (WP), CHEO CHAI CHEN (NSP)"
2015,2015-09-01,2015-09-11,Marine Parade,GRC,146244,85138,64.07,47753,35.93,WP,"FATIMAH BINTE ABDUL LATEEF, GOH CHOK TONG, SEAH KIAN PENG, TAN CHUAN-JIN, TONG CHUN FAI EDWIN CHARLES","FIRUZ KHAN, HE TINGRU, NG FOO ENG, TERENCE TAN, YEE JENN JONG"
2015,2015-09-01,2015-09-11,Marsiling-Yew Tee,GRC,107599,68546,68.73,31185,31.27,SDP,"HALIMAH YACOB, ONG TENG KOON, LAWRENCE WONG, ALEX YAM ZIMING","DAMANHURI BIN ABAS, LIM BOON HENG, TAN LIANG JOO JOHN, WONG SOUK YEE"
2015,2015-09-01,2015-09-11,Mountbatten,SMC,24143,15331,71.86,6004,28.14,SPP,LIM BIOW CHUAN,JEANNETTE CHONG - ARULDOSS
2015,2015-09-01,2015-09-11,Nee Soon,GRC,132289,82287,66.83,40841,33.17,WP,"K SHANMUGAM, KWEK HIAN CHUAN, LEE BEE WAH, MUHAMMAD FAISHAL IBRAHIM, NG KOK KWANG LOUIS","FOO SECK GUAN, GURMIT SINGH S/O SADHU SINGH, KOH TIONG YEE, CHERYL LOH XIU WEN, RON TAN JUN YEN"
2015,2015-09-01,2015-09-11,Pasir Ris-Punggol,GRC,187396,125166,72.89,46550,27.11,SDA,"JANIL PUTHUCHEARY, NG CHEE MENG, SUN XUELING, TEO CHEE HEAN, TEO SER LUCK, ZAINAL BIN SAPARI","ABU BIN MOHAMED, HARMINDER PAL SINGH S/O GURCHARAN SINGH, LIM BAK CHUAN DESMOND, LIM TUNG HEE ARTHERO, ONG TEIK SENG, WONG WAY WENG"
2015,2015-09-01,2015-09-11,Pioneer,SMC,25458,18017,76.35,5581,23.65,NSP,CEDRIC FOO CHEE KENG,ONG BENG SOON ELVIN
2015,2015-09-01,2015-09-11,Potong Pasir,SMC,17407,10602,66.39,5368,33.61,SPP,SITOH YIH PIN,LOH WOON LEE LINA
2015,2015-09-01,2015-09-11,Punggol East,SMC,34466,16977,51.77,15818,48.23,WP,CHARLES CHONG YOU FOOK,LEE LI LIAN
2015,2015-09-01,2015-09-11,Radin Mas,SMC,28906,20246,77.25,5963,22.75,"RP, Ind",TAN CHIN SIONG,"HAN HUI HUI (IND), KUMAR S/O APPAVOO (RP)"
2015,2015-09-01,2015-09-11,Sembawang,GRC,144672,96718,72.28,37087,27.72,NSP,"AMRIN AMIN, KHAW BOON WAN, LIM WEE KIAK, ONG YE KUNG, VIKRAM NAIR","ABDUL RASHEED S/O Y ABDUL KUTHUS, LIM TONG ZHEN, NG CHUNG HON, YADZETH BIN HAIRIS, YEO REN-YUAN"
2015,2015-09-01,2015-09-11,Sengkang West,SMC,30119,17586,62.13,10721,37.87,WP,LAM PIN MIN,KOH CHOONG YONG
2015,2015-09-01,2015-09-11,Tampines,GRC,143518,95305,72.07,36943,27.93,NSP,"BAEY YAM KENG, CHENG LI HUI, DESMOND CHOO PEY CHING, HENG SWEE KEAT, MASAGOS ZULKIFLI","CHOONG HON HENG, FONG CHIN LEONG, LIM TEAN, NOR LELLA MARDIIIAH BTE MOHAMED, TEO KWAY HUANG SEBASTIAN"
2015,2015-09-01,2015-09-11,Tanjong Pagar,GRC,130752,90635,77.71,25998,22.29,SGF,"CHAN CHUN SING, CHIA SHI-LU, INDRANEE THURAI RAJAH, JOAN PEREIRA, MELVIN YONG YIK CHYE","ANG YONG GUAN, CHIRAG PRAFUL DESAI, CHIU WENG HOE MELVYN, MOHAMAD FAHMI BIN AHMAD RAIS, TAN JEE SAY"
2015,2015-09-01,2015-09-11,West Coast,GRC,99300,71214,78.57,19426,21.43,RP,"FOO MEE HAR, LIM HNG KIANG, S ISWARAN, PATRICK TAY TECK GUAN","KENNETH ANDREW JEYARETNAM, NORAINI BTE YUNUS, SOH GUAN SOON, ZHU LAICHENG"
2015,2015-09-01,2015-09-11,Yuhua,SMC,22617,15324,73.55,5512,26.45,SDP,GRACE FU HAI YIEN,GO HUI LENG
2011,2011-04-27,2011-05-07,Aljunied,GRC,143148,59829,45.28,72289,54.72,WP,"LIM HWEE HUA, ONG YE KUNG, CYNTHIA PHUA, GEORGE YONG-BOON YEO, ZAINUL ABIDIN RASHEED","CHEN SHOW MAO, SYLVIA LIM, LOW THIA KHIANG, MUHAMAD FAISAL BIN ABDUL MANAP, PRITAM SINGH"
2011,2011-04-27,2011-05-07,Ang Mo Kio,GRC,179071,112677,69.33,49851,30.67,RP,"ANG HIN KEE, INDERJIT SINGH, INTAN AZURA BINTE MOKHTAR, LEE HSIEN LOONG, SENG HAN THONG, YEO GUAT KWANG","LIM TUNG HEE ARTHERO, LIM ZIRUI, MOHAMED MANSOR BIN ABDUL RAHMAN, OSMAN BIN SULAIMAN, TAN ZHI XIANG, VIGNESWARI D/O V RAMACHANDRAN"
2011,2011-04-27,2011-05-07,Bishan-Toa Payoh,GRC,122492,62385,56.93,47205,43.07,SPP,"HRI KUMAR NAIR, NG ENG HEN, JOSEPHINE TEO, WONG KAN SENG, ZAINUDIN NORDIN","CHIAM SEE TONG, LEE YEONG WEE, WILFRED LEUNG, MOHAMAD HAMIM ALIYAS, BENJAMIN PWEE"
2011,2011-04-27,2011-05-07,Bukit Panjang,SMC,33053,20375,66.27,10372,33.73,SDP,TEO HO PIN,ALEC TOK
2011,2011-04-27,2011-05-07,Chua Chu Kang,GRC,158648,89710,61.2,56885,38.8,NSP,"GAN KIM YONG, LOW YEN LING, ALEX YAM ZIMING, YEO KHIRN HAI ALVIN, ZAQY BIN MOHAMAD","JEISILAN SIVALINGAM, NOR LELLA MARDIIIAH BTE MOHAMED, HAZEL POA KOON KOON, TONY TAN LAY THIAM, TEO KWAY HUANG, SEBASTIAN"
2011,2011-04-27,2011-04-27,East Coast,GRC,120324,59992,54.83,49429,45.17,WP,"LEE YI SHYAN, LIM SIANG KEAT RAYMOND, LIM SWEE SAY, MOHD MALIKI BIN OSMAN, TAN SOON NEO JESSICA","GERALD GIAM YEAN SONG, GLENDA HAN SU MAY, MOHAMED FAZLI BIN TALIP, PNG ENG HUAT, ERIC TAN HENG CHONG"
2011,2011-04-27,2011-04-27,Holland-Bukit Timah,GRC,91607,48773,60.08,32406,39.92,SDP,"DE SOUZA CHRISTOPHER JAMES, LIANG ENG HWA, SIM ANN, VIVIAN BALAKRISHNAN","ANG YONG GUAN, MICHELLE LEE JUEN, TAN JEE SAY, WIJEYSINGHA VINCENT RENE"
2011,2011-04-27,2011-04-27,Hong Kah North,SMC,27701,18156,70.61,7556,29.39,SPP,AMY KHOR LEAN SUAN,SIN KEK TONG
2011,2011-04-27,2011-04-27,Hougang,SMC,24560,8065,35.2,14850,64.8,WP,DESMOND CHOO PEY CHING,YAW SHIN LEONG
2011,2011-04-27,2011-04-27,Joo Chiat,SMC,22069,9666,51.02,9278,48.98,WP,CHARLES CHONG YOU FOOK,YEE JENN JONG
2011,2011-04-27,2011-04-27,Jurong,GRC,125276,76595,66.96,37786,33.04,NSP,"ANG WEI NENG, HALIMAH BINTE YACOB, DESMOND LEE TI-SENG (LI ZHISHENG), ONG KIM HUAT, THARMAN SHANMUGARATNAM","ABDUL RASHEED, CHRISTOPHER NEO TING WEI, NORAINI YUNUS, ONG BENG SOON ELVIN, ONG HOCK SIONG"
2011,2011-04-27,2011-04-27,Marine Parade,GRC,154451,78286,56.64,59926,43.36,NSP,"FATIMAH BINTE ABDUL LATEEF, GOH CHOK TONG, SEAH KIAN PENG, TAN CHUAN-JIN, TIN PEI LING","ABDUL SALIM BIN HARUN, CHEO CHAI CHEN, NG CHUNG HON, NICOLE REBECCA SEAH XUE LING, YEO TIONG BOON"
